Year,Cause Name,State,Deaths
2017,Unintentional injuries,United States,169936
2017,Unintentional injuries,Alabama,2703
2017,Unintentional injuries,Alaska,436
2017,Unintentional injuries,Arizona,4184
2017,Unintentional injuries,Arkansas,1625
2017,Unintentional injuries,California,13840
2017,Unintentional injuries,Colorado,3037
2017,Unintentional injuries,Connecticut,2078
2017,Unintentional injuries,Delaware,608
2017,Unintentional injuries,District of Columbia,427
2017,Unintentional injuries,Florida,13059
2017,Unintentional injuries,Georgia,4712
2017,Unintentional injuries,Hawaii,585
2017,Unintentional injuries,Idaho,876
2017,Unintentional injuries,Illinois,6019
2017,Unintentional injuries,Indiana,3978
2017,Unintentional injuries,Iowa,1536
2017,Unintentional injuries,Kansas,1567
2017,Unintentional injuries,Kentucky,3264
2017,Unintentional injuries,Louisiana,2780
2017,Unintentional injuries,Maine,990
2017,Unintentional injuries,Maryland,2408
2017,Unintentional injuries,Massachusetts,3821
2017,Unintentional injuries,Michigan,5623
2017,Unintentional injuries,Minnesota,2788
2017,Unintentional injuries,Mississippi,1738
2017,Unintentional injuries,Missouri,3776
2017,Unintentional injuries,Montana,579
2017,Unintentional injuries,Nebraska,811
2017,Unintentional injuries,Nevada,1496
2017,Unintentional injuries,New Hampshire,907
2017,Unintentional injuries,New Jersey,4482
2017,Unintentional injuries,New Mexico,1460
2017,Unintentional injuries,New York,7687
2017,Unintentional injuries,North Carolina,5985
2017,Unintentional injuries,North Dakota,339
2017,Unintentional injuries,Ohio,8971
2017,Unintentional injuries,Oklahoma,2563
2017,Unintentional injuries,Oregon,2076
2017,Unintentional injuries,Pennsylvania,9527
2017,Unintentional injuries,Rhode Island,718
2017,Unintentional injuries,South Carolina,3147
2017,Unintentional injuries,South Dakota,537
2017,Unintentional injuries,Tennessee,4435
2017,Unintentional injuries,Texas,10763
2017,Unintentional injuries,Utah,1238
2017,Unintentional injuries,Vermont,394
2017,Unintentional injuries,Virginia,3922
2017,Unintentional injuries,Washington,3455
2017,Unintentional injuries,West Virginia,1892
2017,Unintentional injuries,Wisconsin,3746
2017,Unintentional injuries,Wyoming,348
2017,All causes,United States,2813503
2017,All causes,Alabama,53238
2017,All causes,Alaska,4411
2017,All causes,Arizona,57758
2017,All causes,Arkansas,32588
2017,All causes,California,268189
2017,All causes,Colorado,38063
2017,All causes,Connecticut,31312
2017,All causes,Delaware,9178
2017,All causes,District of Columbia,4965
2017,All causes,Florida,203636
2017,All causes,Georgia,83098
2017,All causes,Hawaii,11390
2017,All causes,Idaho,14011
2017,All causes,Illinois,109721
2017,All causes,Indiana,65597
2017,All causes,Iowa,30530
2017,All causes,Kansas,27063
2017,All causes,Kentucky,48212
2017,All causes,Louisiana,45804
2017,All causes,Maine,14676
2017,All causes,Maryland,49926
2017,All causes,Massachusetts,58803
2017,All causes,Michigan,97602
2017,All causes,Minnesota,44371
2017,All causes,Mississippi,32280
2017,All causes,Missouri,61876
2017,All causes,Montana,10200
2017,All causes,Nebraska,16878
2017,All causes,Nevada,24657
2017,All causes,New Hampshire,12504
2017,All causes,New Jersey,74846
2017,All causes,New Mexico,18673
2017,All causes,New York,155358
2017,All causes,North Carolina,93157
2017,All causes,North Dakota,6415
2017,All causes,Ohio,123648
2017,All causes,Oklahoma,40452
2017,All causes,Oregon,36624
2017,All causes,Pennsylvania,135656
2017,All causes,Rhode Island,10157
2017,All causes,South Carolina,49441
2017,All causes,South Dakota,7996
2017,All causes,Tennessee,70096
2017,All causes,Texas,198106
2017,All causes,Utah,18035
2017,All causes,Vermont,6007
2017,All causes,Virginia,68579
2017,All causes,Washington,56995
2017,All causes,West Virginia,23276
2017,All causes,Wisconsin,52681
2017,All causes,Wyoming,4768
2017,Alzheimer's disease,United States,121404
2017,Alzheimer's disease,Alabama,2563
2017,Alzheimer's disease,Alaska,98
2017,Alzheimer's disease,Arizona,3058
2017,Alzheimer's disease,Arkansas,1436
2017,Alzheimer's disease,California,16238
2017,Alzheimer's disease,Colorado,1830
2017,Alzheimer's disease,Connecticut,1077
2017,Alzheimer's disease,Delaware,377
2017,Alzheimer's disease,District of Columbia,125
2017,Alzheimer's disease,Florida,6980
2017,Alzheimer's disease,Georgia,4290
